Fluides Type;REG Dimension ;BOX Dimension;Alpha Max;Alpha Min;Alpha peak;Width;f (alpha max);f (alpha min);f (alpha peak);Right height;Left height;C values
OIL;1.5461;1.8906;2.08;0.62;1.12;1.46;0.3;0.82;1;0.7;0.18;0.52
OIL;1.5747;1.8283;5.8;3;4.3;2.8;-0.64;0.1;1;1.64;0.9;0.74
OIL;1.5921;1.7998;4.6;2.4;3.75;2.2;0.41;-0.26;1;0.59;1.26;0.67
OIL;1.604;1.7895;3;1.41;2.2;1.59;0.41;0.62;1;0.59;0.38;0.21
OIL;1.6054;1.7658;1.47;-0.05;0.22;1.52;-0.55;0.95;1;1.55;0.05;1.5
OIL;1.4383;1.7196;1.95;0.15;1.5;1.8;0.79;-0.18;1;0.21;1.18;0.97
OIL;1.4069;1.7687;2;-0.75;1.4;2.75;1;-0.4;1;0;1.4;1.4
OIL;1.3958;1.7661;1.79;0.4;1.5;1.39;0.92;-0.05;1;0.08;1.05;0.97
OIL;1.3672;1.7692;1.99;-0.02;1.05;2.01;1;-0.02;1;0;1.02;1.02
OIL;1.3206;1.6984;1.78;0;1.05;1.78;0.16;0.1;1;0.84;0.9;0.06
OIL;1.4023;1.9107;4.3;1.35;3.75;2.95;-0.2;-1.7;1;1.2;2.7;1.5
OIL;1.4003;1.9201;2.42;1.25;1.93;1.17;0.45;0.14;1;0.55;0.86;0.31
OIL;1.3884;1.9439;2.1;1.02;1.94;1.08;0.72;-0.49;1;0.28;1.49;1.21
OIL;1.4144;1.9507;5.35;1.8;3.1;3.55;-1.15;0.1;1;2.15;0.9;1.25
OIL;1.3961;1.9608;4.9;0.7;2.5;4.2;-1;-0.4;1;2;1.4;0.6
GAZ;1.638;1.6553;0.79;0.19;0.56;0.6;0.82;0.68;1;0.18;0.32;0.14
GAZ;1.6023;1.6504;0.68;0.23;0.52;0.45;0.86;0.7;1;0.14;0.3;0.16
GAZ;1.5809;1.6631;0.42;0.21;0.405;0.21;0.94;0.78;0.98;0.04;0.2;0.16
GAZ;1.5547;1.6995;0.79;0.29;0.57;0.5;0.88;0.71;1;0.12;0.29;0.17
GAZ;1.5301;1.7014;0.88;0.35;0.68;0.53;0.81;0.62;1;0.19;0.38;0.19
GAZ;1.6164;1.562;0.77;0.47;0.524;0.3;0.87;1;1;0.13;0;0.13
GAZ;1.6178;1.5303;0.87;0.6;0.66;0.27;0.765;1;1;0.235;0;0.235
GAZ;1.6377;1.56;0.94;0.48;0.8;0.46;1;0.86;1;0;0.14;0.14
GAZ;1.5815;1.6514;1.22;0.86;0.99;0.36;0.67;0.93;1;0.33;0.07;0.26
GAZ;1.5706;1.6451;1.21;0.77;0.88;0.44;0.67;0.87;1;0.33;0.13;0.2
GAZ;1.7467;1.5968;0.49;0.22;0.48;0.27;0.99;0.66;1;0.01;0.34;0.33
GAZ;1.7534;1.5666;0.294;0.254;0.294;0.04;0.98;0.88;0.98;0;0.1;0.1
GAZ;1.7722;1.5733;0.385;0.23;0.382;0.155;0.984;0.824;0.992;0.008;0.168;0.16
GAZ;1.7055;1.6079;0.338;0.232;0.338;0.106;0.79;0.58;0.79;0;0.21;0.21
